"filename", "language", "JavaScript", "TypeScript", "Vue", "XML", "JSON", "JSON with Comments", "Markdown", "HTML", "Python", "pip requirements", "Properties", "comment", "blank", "total"
"c:\Users\User\Documents\Projects\Option blocks\website\server\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, 0, -5
"c:\Users\User\Documents\Projects\Option blocks\website\server\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -2, -4, -19
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\api\api_views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -266, 0, 0, -22, -27, -315
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\api\pagination.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, -1, -6
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\api\permissions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, -3, -10
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\api\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -80, 0, 0, -1, -12, -93
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\api\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, -5, -20
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -3, -7
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -56, 0, 0, -1, -7, -64
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\migrations\0002_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -54, 0, 0, -1, -7, -62
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\migrations\0003_alter_avalilableoptionchoices_unique_together.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -1, -6, -18
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\migrations\0004_alter_availableoption_option.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -1, -6, -21
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\migrations\0005_alter_availableoption_option_choices.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -1, -6, -20
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, -4
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\models\choices.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, 0, -5, -34
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\models\options.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -7, -43
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\models\rooms.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, -9, -52
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\environment\models\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -53, 0, 0, -5, -5, -63
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -1, -5, -18
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\api\api_views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -382, 0, 0, -36, -45, -463
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\api\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -48, 0, 0, -13, -12, -73
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\api\translation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\api\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, -8, -24
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -3, -7
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -46, 0, 0, -1, -7, -54
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\migrations\0002_optionblocks_created_by.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -1, -6, -22
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\migrations\0003_auto_20221230_2333.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -1, -6, -34
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\models\blocks.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -72, 0, 0, 0, -10, -82
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\models\rule.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, -5, -32
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -1, -5, -18
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\api_views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -246, 0, 0, -17, -44, -307
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\pagination.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -2, -6
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -38, 0, 0, 0, -7, -45
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -1, -6, -22
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -3, -7
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -63, 0, 0, -1, -7, -71
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0002_alter_choice_student.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -1, -6, -20
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0003_alter_choice_student.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -1, -6, -21
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0004_alter_student_room.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -1, -6, -22
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0005_auto_20221222_1115.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -1, -6, -25
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0006_alter_student_room.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -1, -6, -21
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0007_student_max_reserves.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -1, -6, -19
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, -4
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\choices.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -7, -6, -30
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\options.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, -5, -30
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\requirement.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, -1, -8, -42
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\students.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -2, -4, -31
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -3, -7
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\api\api_views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -52, 0, 0, 0, -11, -63
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\api\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, -6, -17
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\api\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -6, -14
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -3, -7
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -1, -7, -37
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\migrations\0002_auto_20221229_1122.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -1, -6, -24
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\models\user.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -42, 0, 0, -4, -14, -60
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\conf\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -4, -17
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\conf\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -47, 0, 0, 0, -12, -59
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\exceptions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -84, 0, 0, 0, -17, -101
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\clash.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -120, 0, 0, -7, -15, -142
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\node.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -200, 0, 0, -20, -38, -258
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\populate.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -113, 0, 0, -4, -15, -132
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\process.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -153, 0, 0, -21, -45, -219
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\state.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, -1, -8, -44
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\utility.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -261, 0, 0, -27, -37, -325
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\evaluation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -327, 0, 0, -55, -54, -436
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\graphs.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -97, 0, 0, 0, -21, -118
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\operations.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -151, 0, 0, -2, -21, -174
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\pathway.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -143, 0, 0, -11, -39, -193
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\validators.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -56, 0, 0, 0, -16, -72
